planTime,treeSize,pathCost,bestDistance
0,3078,570,111
0,5,150,93
0,4,120,75
0,4,120,52
0,3,90,33
0,2,60,59
0,3,90,48
0,2,60,26
3,19,570,406
0,16,480,353
0,18,540,369
0,3314,450,263
0,3387,210,121
0,27,810,649
0,29,870,651
2,30,900,655
0,29,870,660
0,29,870,666
0,29,870,672
0,30,900,677
0,29,870,682
0,39,990,687
0,38,990,693
0,26,780,591
0,26,780,586
0,26,780,582
0,27,810,579
0,26,780,575
0,29,840,571
3,26,780,568
5,27,810,566
0,26,780,563
0,32,900,560
0,31,870,558
0,28,810,556
0,36,900,555
0,17,510,348
0,17,510,350
0,17,510,352
0,17,510,355
4,16,480,359
0,17,510,366
0,18,540,376
0,18,540,387
4,3472,630,397
0,18,540,387
0,18,540,367
5,3192,570,350
5,16,480,334
0,16,480,318
0,15,450,302
0,14,420,278
2,14,390,249
0,2955,390,220
6,3216,570,221
0,12,360,226
0,11,330,212
0,10,300,199
1,5,150,92
2,4,120,63
0,15,450,278
0,10,300,197
0,5,150,80
0,22,630,354
3,18,540,323
0,18,540,314
0,13,390,264
4,3209,570,257
0,2911,600,320
0,3084,600,309
0,12,360,229
0,5,150,101
0,7,210,153
0,2966,510,163
0,12,330,139
0,6,180,116
0,17,390,127
0,22,450,96
4,2,60,51
0,7,210,167
2,5,150,96
0,4,120,48
4,3,90,45
0,3,90,47
3,2,60,36
0,31,900,633
2,30,870,530
0,20,600,489
0,19,570,393
0,15,450,264
0,6,180,132
7,3343,150,77
0,37,1110,774
0,3308,1140,733
5,46,1020,615
7,3221,1080,536
0,3145,930,526
0,25,750,517
1,27,720,508
0,25,750,502
0,23,690,497
0,23,690,494
0,10,300,214
0,10,300,212
0,10,300,211
0,10,300,211
0,11,330,212
0,10,300,214
0,10,300,217
0,11,330,222
0,10,300,228
4,3217,390,235
0,3031,510,243
0,3228,630,251
1,14,390,260
0,13,390,269
0,13,390,281
0,29,870,546
1,27,750,526
0,24,720,501
0,23,690,478
4,23,690,454
4,39,1050,432
0,117,1020,410
6,3051,630,389
4,11,330,188
3,10,300,191
0,5,150,66
2,4,120,51
4,3,90,37
0,2,60,25
0,2,60,20
0,3,90,27
0,2,60,41
5,2,60,56
0,3,90,72
0,4,120,88
0,5,150,104
0,5,150,120
3,3295,390,241
0,3045,660,171
0,11,330,160
0,15,390,253
0,13,360,271
0,12,330,178
3,7,210,148
0,7,210,127
0,6,180,93
0,3,90,58
4,39,450,38
2,8,240,162
0,4,120,91
0,4,120,64
0,5,120,60
0,3,90,49
0,3,90,33
0,1,30,21
0,3277,1080,527
0,2888,1620,413
0,3101,480,246
3,18,510,287
0,18,540,392
4,2903,600,440
0,19,570,474
0,17,510,393
0,10,300,217
0,3,90,61
0,21,630,435
0,14,420,349
0,11,330,224
0,3173,120,76
5,3072,330,70
1,12,330,91
0,13,360,83
0,6,180,81
0,4,120,52
0,13,390,312
0,12,360,273
0,8,240,177
5,3392,300,66
0,26,720,599
0,25,750,617
0,3127,780,563
0,3146,690,436
5,3331,630,463
0,22,660,593
0,8,240,163
0,6,180,141
0,8,240,143
0,6,180,104
5,3075,240,55
3,17,510,359
2,18,540,359
0,15,450,283
0,9,270,174
2,5,150,112
0,6,180,89
1,5,150,84
0,21,630,520
0,26,780,505
0,26,750,508
2,23,630,495
0,9,270,166
0,9,270,179
0,9,270,191
0,10,300,204
0,3120,390,217
1,3253,690,229
0,3058,660,241
0,2974,630,255
6,3078,630,268
0,3076,930,280
0,15,450,295
0,11,330,254
0,39,1080,655
0,39,1080,646
0,22,660,487
0,23,510,328
